bodr;Bodr
b_daradi;Daradi
b_qadaveina;Qadaveina
b_raetlqa;Raetlqa
b_esolas;Esolas
b_ravoza;Ravoza
risenat;Risenat
b_tiwoza;Tiwoza
b_bucule;Bucule
b_qurutlu;Qurutlu
b_qarutlu;Qarutlu
b_ekoanics;Ekoanics
b_wiwelin;Wiwelin
b_liwolas;Liwolas
b_nurga;Nurga
b_waroza;Waroza
b_kelin;Kelin
b_diwutlu;Diwutlu
b_riroumas;Riroumas
b_kuel;Kuel
b_tarenat;Tarenat
sirutlu;Sirutlu
b_eserurga;Eserurga
b_werurga;Werurga
b_sadi;Sadi
b_kisutlu;Kisutlu
b_nurilip;Nurilip
b_nirutlu;Nirutlu
b_wucuel;Wucuel
terelin;Terelin
b_bakerutlu;Bakerutlu
b_rarics;Rarics
b_tavilip;Tavilip
b_edurabra;Edurabra
b_tics;Tics
b_navelin;Navelin
b_siwutlu;Siwutlu
b_nata;Na'ta
qamarurga;Qamarurga
b_kiunl;Kiunl
b_kisics;Kisics
b_adavenat;Adavenat
b_nerabra;Nerabra
b_terics;Terics
b_amarolas;Amarolas
b_kayaka;Kayaka
kururga;Kururga
b_bururga;Bururga
b_wiwilip;Wiwilip
b_rucolas;Rucolas
b_labra;Labra
b_edrutlu;Edrutlu
b_kucelin;Kucelin
b_belin;Belin
sisadi;Sisadi
b_seruel;Seruel
b_sucoza;Sucoza
b_akiwltavl;Akiwltavl
b_lisurga;Lisurga
b_werutlu;Werutlu
b_nurutlu;Nurutlu
b_keroza;Keroza
b_nisosa;Nisosèa
diwabra;Diwabra
b_ataura;Ataura
b_dereina;Dereina
b_wule;Wule
b_wucutlu;Wucutlu
b_resiwlrerl;Resiwlrerl
b_arasunl;Ara'sunl
b_ravaura;Ravaura
b_derolas;Derolas
b_ravabra;Ravabra
b_adreina;Adreina
b_sirule;Sirule
b_surabra;Surabra
b_kuruel;Kuruel
b_tereina;Tereina
b_durics;Durics
b_denat;Denat
kaura;Kaura
b_kiwutlu;Kiwutlu
b_tarolas;Tarolas
b_ruel;Ruel
b_qaetelin;Qaetelin
b_diweina;Diweina
b_kiraura;Kiraura
b_tucolas;Tucolas
b_ladi;Ladi
sadururga;Sadururga
b_tucule;Tucule
b_qiruel;Qiruel
b_kisnaeska;Kisna'eska
b_taveina;Taveina
b_wuruel;Wuruel
b_sirurga;Sirurga
b_adroumas;Adroumas
reina;Reina
b_riwilip;Riwilip
b_larics;Larics
b_burga;Burga
b_kucilip;Kucilip
b_ravlarurl;Ravla'rurl
b_tisaura;Tisaura
b_tiroza;Tiroza
b_dabra;Dabra
kirratoal;Kirra'toal
b_loanoza;Loanoza
b_rururga;Rururga
b_nadi;Nadi
b_bics;Bics
b_welin;Welin
b_lolas;Lolas
b_qisule;Qisule
b_rarenat;Rarenat
badi;Badi
b_risayaka;Risayaka
b_wiwuel;Wiwuel
b_kavutlu;Kavutlu
b_rurics;Rurics
b_kiwenat;Kiwenat
b_karule;Karule
b_kavics;Kavics
b_rirurga;Rirurga
leselin;Leselin
b_serayaka;Serayaka
b_naeteina;Naeteina
b_qosa;Qosèa
b_risolas;Risolas
b_kareina;Kareina
b_emarutlu;Emarutlu
qenat;Qenat
b_bolas;Bolas
b_duruel;Duruel
b_adurolas;Adurolas
b_elavuel;Elavuel
b_akerics;Akerics
b_koanuel;Koanuel
b_nunuel;Nunuel
dareina;Dareina
b_qerenat;Qerenat
b_barule;Barule
b_wurga;Wurga
b_koanmas;Koanmas
b_wics;Wics
b_lirelin;Lirelin
b_tiwenat;Tiwenat
b_qucolas;Qucolas
runaura;Runaura
b_dislterlavl;Dislterlavl
b_kurelin;Kurelin
b_durelin;Durelin
b_daeturga;Daeturga
b_birutlu;Birutlu
b_esiweina;Esiweina
b_qavelin;Qavelin
b_niweina;Niweina
b_kavuel;Kavuel
b_kirethee;Kirethee
b_buel;Buel
b_kasmurga;Kasmurga
b_ruraura;Ruraura
turoza;Turoza
b_noanadi;Noanadi
b_rerenat;Rerenat
b_remarutlu;Remarutlu
b_sucaura;Sucaura
b_koanadi;Koanadi
b_qiweina;Qiweina
b_turelin;Turelin
lucabra;Lucabra
b_tiskadiska;Tiska'diska
b_rirabra;Rirabra
b_wisadi;Wisadi
b_atunics;Atunics
b_abayaka;Abayaka
b_adeina;Adeina
b_kucule;Kucule
tatirna;Ta'tirna
b_abucabra;Abucabra
b_tisuel;Tisuel
b_relika;Rel'ika
b_kavilip;Kavilip
b_wunuel;Wunuel
b_riunmas;Riunmas
b_radavutlu;Radavutlu
b_edavaura;Edavaura
tucutlu;Tucutlu
b_turics;Turics
b_rerilip;Rerilip
b_nisaura;Nisaura
b_nunics;Nunics
b_ekerenat;Ekerenat
b_tareina;Tareina
b_wavutlu;Wavutlu
b_davadi;Davadi
naetolas;Naetolas
b_kirurga;Kirurga
b_rarilip;Rarilip
b_nule;Nule
b_baura;Baura
b_kerule;Kerule
b_sucadi;Sucadi
b_lunuel;Lunuel
b_lenat;Lenat
asolas;Asolas
b_kireina;Kireina
b_qisics;Qisics
b_asule;Asule
b_rutlu;Rutlu
b_wucics;Wucics
b_rerurga;Rerurga
b_karutlu;Karutlu
b_qerethee;Qerethee
b_kisosa;Kisosèa
b_berurga;Berurga
b_bavelin;Bavelin
b_davule;Davule
b_qucics;Qucics
b_narelin;Narelin
b_wahlabra;Wahlabra
b_davenat;Davenat
b_rurabra;Rurabra
b_rucurga;Rucurga
b_rerucule;Rerucule
b_qirethee;Qirethee
b_sarilip;Sarilip
asilip;Asilip
b_nisadi;Nisadi
b_qoza;Qoza
b_taruclela;Taruclela
b_evlutlu;Evlutlu
b_wavadi;Wavadi
b_laruel;Laruel
b_edrilip;Edrilip
b_nureina;Nureina
wiunz;Wiunz
b_selin;Selin
b_nuroza;Nuroza
b_arosa;Arosèa
b_tucoza;Tucoza
b_larule;Larule
b_rirrala;Rirra'la
b_sisoumas;Sisoumas
b_bilip;Bilip
emunelin;Emunelin
b_wureina;Wureina
b_rucelin;Rucelin
b_arolas;Arolas
b_terabra;Terabra
b_qerurga;Qerurga
b_kurlkisra;Kurlkisra
b_edavuel;Edavuel
b_lasirra;La'sirra
keradi;Keradi
b_tuel;Tuel
b_risethee;Risethee
b_nayaka;Nayaka
b_kaetenat;Kaetenat
b_dasiwelin;Dasiwelin
b_akiroumas;Akiroumas
b_aroanlint;Aroanlin't
b_karolas;Karolas
lirurga;Lirurga
b_kevlakerna;Kevla'kerna
b_lirics;Lirics
b_siskaerra;Siska'erra
b_baetuel;Baetuel
b_lurabra;Lurabra
b_aturga;Aturga
b_baetelin;Baetelin
remarenat;Remarenat
b_turutlu;Turutlu
b_adaura;Adaura
b_savule;Savule
b_rirnata;Rirna'ta
b_doanuel;Doanuel
b_kisilip;Kisilip
b_tavule;Tavule
bakerurga;Bakerurga
b_amarurga;Amarurga
b_rareina;Rareina
b_liraura;Liraura
b_davilip;Davilip
b_navaura;Navaura
b_tisoza;Tisoza
b_erucutlu;Erucutlu
loanule;Loanule
b_lerucenat;Lerucenat
b_raradi;Raradi
b_boumas;Boumas
b_narolas;Narolas
b_tureina;Tureina
b_naroza;Naroza
b_lisolas;Lisolas
terosa;Terosèa
b_rule;Rule
b_eraradi;Eraradi
b_nuradi;Nuradi
b_kirenat;Kirenat
b_surga;Surga
b_warutlu;Warutlu
b_kavadi;Kavadi
b_amarule;Amarule
kiwaura;Kiwaura
b_erolas;Erolas
b_esilip;Esilip
b_suel;Suel
b_kisuel;Kisuel
b_davuel;Davuel
b_nethee;Nethee
b_sirelin;Sirelin
b_edrurga;Edrurga
navutlu;Navutlu
b_raba;Ra'ba
b_lavadi;Lavadi
b_eduel;Eduel
b_ruceina;Ruceina
b_roanoza;Roanoza
b_nareina;Nareina
b_kiwabra;Kiwabra
b_wurutlu;Wurutlu
tiwutlu;Tiwutlu
b_tule;Tule
b_serelin;Serelin
b_arucule;Arucule
b_tavltarl;Tavltarl
b_emarelin;Emarelin
b_naetule;Naetule
b_kuceina;Kuceina
b_wavabra;Wavabra
wadureina;Wadureina
b_leradi;Leradi
b_eririlip;Eririlip
b_navoza;Navoza
b_kiwule;Kiwule
b_warilip;Warilip
b_kiwadi;Kiwadi
b_edurenat;Edurenat
b_loanuel;Loanuel
tarirra;Ta'rirra
b_asiwelin;Asiwelin
b_senat;Senat
b_qerics;Qerics
b_avlayaka;Avlayaka
b_qoanka;Qoanka
b_edroza;Edroza
b_birolas;Birolas
b_wurilip;Wurilip
b_kiweina;Kiweina
b_rucuel;Rucuel
b_asiwutlu;Asiwutlu
b_serule;Serule
akolas;Akolas
wurl;Wurl
kisna;Kisna
ravl;Ravl
surm;Surm
ruman;Ruman
rawi;Rawi
tan;Tæan
tori;Tori
sigi;Sigi
norm;Norm
ami;Ami
wial;Wial
wesi;Wesi
nori;Nori
keti;Keti
qanive;Qanive
alaman;Alaman
alaman_DESC;The Gods smile upon you.
lisra;Lisra
beorase;Beorase
bubaplo;Bubaplo
tohelen;Tohelen
tumetre;Tumetre
nuam;Nuam
dam;Dæam
nin;Nin
egeom;Egeom
agva;Agva
sorm;Sorm
keom;Keom
qorm;Qorm
neom;Neom
tapm;Tapm
anicba;Anicba
nap;Nap
bey;Bey
rohm;Rohm
kamm;Kamm
ekkelocm;Ek-Ke'locm
b_setenda;Setenda
b_wiebi;Wiebi
b_daudidani;Daudi-Dani
b_tamenda;Tamenda
b_bocislav;Bocislav
b_naraunda;Naraunda
b_ranan;Ranan
b_tundes;Tundes
kegeina;Kegeina
b_tocamur;Tocamur
b_betuvdi;Betuvdi
b_wegance;Wegance
b_kordan;Kordan
b_wocance;Wocance
b_lislav;Lislav
b_lameina;Lameina
b_kamamur;Kamamur
qegamur;Qegamur
b_qelesose;Qelesose
b_wamanda;Wamanda
b_dopenda;Dopenda
b_tetose;Tetose
b_tiebive;Tiebive
b_raunda;Raunda
b_kotamur;Kotamur
b_tumamur;Tumamur
nopuvdi;Nopuvdi
b_kegenda;Kegenda
b_kesulad;Kesulad
b_beborlahlan;Beborl-Ahlan
b_teodat;Teodat
b_live;Live
b_qotenr;Qotenr
b_qumislav;Qumislav
b_qauld;Qauld
legibanl;Legi-Banl
b_riebi;Riebi
b_danive;Danive
b_kaudamur;Kaudamur
b_bopiam;Bopiam
b_wesenda;Wesenda
b_alose;Alose
b_kaneina;Kaneina
b_detive;Detive
resamur;Resamur
b_raudenda;Raudenda
b_desuel;Desuel
b_rewiembi;Rewiem-Bi
b_seseina;Seseina
b_rocanda;Rocanda
b_sundes;Sundes
b_raniam;Raniam
b_tesenda;Tesenda
kance;Kance
b_tiafi;Tiafi
b_biam;Biam
b_tesamur;Tesamur
b_nauduvdi;Nauduvdi
b_kanenr;Kanenr
b_korenda;Korenda
b_rorenda;Rorenda
b_kotenr;Kotenr
wanenda;Wanenda
b_kauld;Kauld
b_wislav;Wislav
b_resuvdi;Resuvdi
b_qocamur;Qocamur
b_tiafdat;Tiafdat
b_kanda;Kanda
b_beseina;Beseina
b_bopive;Bopive
raniagopi;Rani-Agopi
b_toriam;Toriam
b_kegose;Kegose
b_wiafi;Wiafi
b_qauan;Qauan
b_banan;Banan
b_lesuvdi;Lesuvdi
b_elenda;Elenda
b_kotanda;Kotanda
lenotmoa;Lenotm-Oa
b_laudeina;Laudeina
b_tamiam;Tamiam
b_reodat;Reodat
b_noriam;Noriam
b_wanamur;Wanamur
b_toceodat;Toceodat
b_taudanda;Taudanda
socance;Socance
b_riafiam;Riafiam
b_kotenda;Kotenda
b_segundes;Segundes
b_tamamur;Tamamur
b_daunda;Daunda
b_letulad;Letulad
b_wotuel;Wotuel
b_akundes;Akundes
wamur;Wamur
b_saunry;Saunry
b_asenda;Asenda
b_saudiam;Saudiam
b_taudamur;Taudamur
b_bameteina;Bameteina
b_bocuel;Bocuel
b_aranose;Aranose
b_naunda;Naunda
besulad;Besulad
b_saudanda;Saudanda
b_ketmei;Ketm-Ei
b_ebesive;Ebesive
b_ecuvdi;Ecuvdi
b_sanamur;Sanamur
b_kopamur;Kopamur
b_wauan;Wauan
b_desenda;Desenda
dauduvdi;Dauduvdi
b_renda;Renda
b_rulad;Rulad
b_buvdi;Buvdi
b_qose;Qose
b_norenda;Norenda
b_erauvdi;Erauvdi
b_tenda;Tenda
b_notenda;Notenda
b_kocenr;Kocenr
b_aboriam;Aboriam
b_kalamuel;Kalamuel
b_qotiam;Qotiam
b_woreina;Woreina
b_wamenda;Wamenda
b_taumr;Taumr
b_landa;Landa
elamose;Elamose
b_elaniam;Elaniam
b_wauvdi;Wauvdi
b_daumr;Daumr
b_taudan;Taudan
b_segislav;Segislav
b_sesose;Sesose
b_elanda;Elanda
b_raneina;Raneina
b_totiam;Totiam
b_regeodat;Regeodat
b_wegenr;Wegenr
b_wegulad;Wegulad
b_borive;Borive
b_nislav;Nislav
b_tesuvdi;Tesuvdi
b_senda;Senda
betenr;Betenr
b_taudiam;Taudiam
b_taudenda;Taudenda
b_taunda;Taunda
b_saunda;Saunda
b_kaudiam;Kaudiam
b_tamose;Tamose
b_qaudulad;Qaudulad
b_tose;Tose
kumance;Kumance
b_kamiam;Kamiam
b_danamur;Danamur
b_wordan;Wordan
b_kesose;Kesose
b_detose;Detose
b_kose;Kose
b_sotulad;Sotulad
korenr;Korenr
b_rauan;Rauan
b_etiam;Etiam
b_tumenda;Tumenda
b_tulad;Tulad
b_emundes;Emundes
b_kanose;Kanose
b_tetenda;Tetenda
b_tanenda;Tanenda
areleresl;Are-Le'resl
b_tasuvdi;Tasuvdi
b_wetenr;Wetenr
b_sotanda;Sotanda
b_besamur;Besamur
b_docive;Docive
b_biafi;Biafi
b_totamur;Totamur
b_qenr;Qenr
eraneina;Eraneina
b_tanan;Tanan
b_naumr;Naumr
b_koramur;Koramur
b_eceina;Eceina
b_kegordan;Kegordan
b_koruel;Koruel
b_kesiam;Kesiam
b_qeodat;Qeodat
koran;Koran
b_kaudan;Kaudan
b_kumose;Kumose
b_samive;Samive
b_tiam;Tiam
b_eraunda;Eraunda
b_lesenr;Lesenr
b_kocamur;Kocamur
b_kauvdi;Kauvdi
qetamur;Qetamur
b_balamose;Balamose
b_raseina;Raseina
b_doruvdi;Doruvdi
b_kaumr;Kaumr
b_nesundes;Nesundes
b_dotuvdi;Dotuvdi
b_baudenda;Baudenda
b_tenr;Tenr
kanamur;Kanamur
b_sorive;Sorive
b_aqamenda;Aqamenda
b_erauld;Erauld
b_qetenr;Qetenr
b_segamur;Segamur
b_qesose;Qesose
b_daudenda;Daudenda
b_rormol;Rorm-Ol
b_dumose;Dumose
b_toramur;Toramur
b_nesuvdi;Nesuvdi
b_kegundes;Kegundes
b_lopenda;Lopenda
b_tislav;Tislav
b_kanenda;Kanenda
b_waudose;Waudose
wocamur;Wocamur
b_balesira;Balesi-Ra
b_wanda;Wanda
b_naun;Naun
b_ekamose;Ekamose
b_bumenr;Bumenr
b_kamikegan;Kami-Kegan
b_ekormal;Ekorm-Al
b_tumulad;Tumulad
relesisorm;Relesi-Sorm
b_topanda;Topanda
b_wesamur;Wesamur
b_docanda;Docanda
b_rotenr;Rotenr
b_benr;Benr
b_denda;Denda
b_amamur;Amamur
b_tocanda;Tocanda
qegenda;Qegenda
b_qesamur;Qesamur
b_rielkiam;Riel-Kiam
b_nordan;Nordan
b_tanose;Tanose
b_sesordan;Sesordan
b_namur;Namur
b_locenr;Locenr
b_kumenda;Kumenda
wiebuel;Wiebuel
b_roculad;Roculad
b_qetuvdi;Qetuvdi
b_taunry;Taunry
b_emetenda;Emetenda
b_lenda;Lenda
b_wuelduel;Wuel-Duel
b_ramamur;Ramamur
b_sanose;Sanose
qumeina;Qumeina
b_ebhulad;Ebhulad
b_ekumamur;Ekumamur
b_ketuvdi;Ketuvdi
b_sesenda;Sesenda
b_wetive;Wetive
b_kesislav;Kesislav
b_kanuvdi;Kanuvdi
b_dopanda;Dopanda
ahleodat;Ahleodat
b_edesulad;Edesulad
b_qeraninumi;Qerani-Numi
b_retulad;Retulad
b_kamenda;Kamenda
b_beglulkocl;Begl-Ulkocl
b_ecive;Ecive
b_bamur;Bamur
b_kaunda;Kaunda
tiebuel;Tiebuel
b_retamur;Retamur
b_ropulad;Ropulad
b_kotiam;Kotiam
b_roplaudi;Ropl-Audi
b_eraun;Eraun
b_bakesi;Ba-Kesi
b_retiam;Retiam
b_deganbiam;Degan-Biam
namulad;Namulad
b_notuel;Notuel
b_leteina;Leteina
b_esamur;Esamur
b_desulad;Desulad
b_raunry;Raunry
b_qetiki;Qeti-Ki
b_niebose;Niebose
b_eraniam;Eraniam
qanenda;Qanenda
b_weganra;Wegan-Ra
b_danulad;Danulad
b_kesordan;Kesordan
b_wiam;Wiam
b_aboreina;Aboreina
b_koceodat;Koceodat
b_elenr;Elenr
b_alameina;Alameina
banulad;Banulad
b_torose;Torose
b_rance;Rance
b_notamur;Notamur
b_raun;Raun
b_wose;Wose
b_qormelesm;Qorm-Elesm
b_raudanda;Raudanda
b_sesamur;Sesamur
laudive;Laudive
b_sehlundes;Sehlundes
b_aboramur;Aboramur
b_taneina;Taneina
b_setamur;Setamur
b_sandaudl;San-Daudl
b_arananda;Arananda
b_diafdat;Diafdat
b_dulad;Dulad
lance;Lance
b_wance;Wance
b_deodat;Deodat
b_tesive;Tesive
b_topan;Topan
b_qaun;Qaun
b_aranenda;Aranenda
b_temenda;Temenda
ahlenda;Ahlenda
b_wesive;Wesive
b_qamanda;Qamanda
b_alesenda;Alesenda
b_kesenda;Kesenda
b_taun;Taun
b_recamur;Recamur
b_ropiam;Ropiam
b_legeina;Legeina
b_qiebive;Qiebive
b_qesan;Qesan
b_niebi;Niebi
b_socenda;Socenda
b_qordan;Qordan
b_eqoriam;Eqoriam
b_launda;Launda
b_lumnasami;Lumna-Sami
ranulad;Ranulad
b_legamur;Legamur
b_atanamur;Atanamur
b_eramur;Eramur
b_samose;Samose
b_raman;Raman
b_wotamur;Wotamur
b_elesulad;Elesulad
b_noran;Noran
resislav;Resislav
b_esesuel;Esesuel
